,uId,storeId,action,eventTime
0,0,2,serverInit,8.049672699875464
1,0,2,viewAppPage,8.049795893161772
2,0,2,galleryScroll,8.051470784209258
3,0,2,galleryScroll,8.051780227754051
4,0,2,galleryScroll,8.051941164903884
5,0,2,galleryScroll,8.052140859679229
6,0,2,galleryScroll,8.052806039831852
7,0,2,galleryScroll,8.052868139105918
8,0,2,galleryScroll,8.053128916519674
9,0,2,galleryScroll,8.053260214030644
10,0,2,appPageScroll,8.053775463618157
11,1,1,serverInit,8.126111117949002
12,2,1,serverInit,8.147448280812593
13,2,1,viewAppPage,8.147753529559223
14,2,1,galleryScroll,8.14797764249475
15,2,1,galleryScroll,8.148239777498432
16,2,1,galleryScroll,8.148480823564096
17,2,1,galleryScroll,8.148513170672741
18,2,1,galleryScroll,8.148706129281107
19,3,2,serverInit,8.191830092910934
20,3,2,viewAppPage,8.192361749245121
21,3,2,appRedirect,8.192734394047653
22,4,0,serverInit,8.330518902031262
23,4,0,viewAppPage,8.330560070828968
24,5,0,serverInit,8.471178755068754
25,5,0,viewAppPage,8.471682476130502
26,5,0,rmd,8.471874423825584
27,5,0,galleryScroll,8.472173891866502
28,5,0,galleryScroll,8.472360077353612
29,5,0,galleryScroll,8.472689227695595
30,5,0,galleryScroll,8.473614247013268
31,5,0,galleryScroll,8.474168792092717
32,5,0,galleryScroll,8.474185892146323
33,5,0,galleryScroll,8.474595421181839
34,5,0,galleryScroll,8.474616728445534
35,5,0,galleryScroll,8.474693449636021
36,5,0,galleryScroll,8.474709455636324
37,5,0,appPageScroll,8.474755350856245
38,5,0,appPageScroll,8.474810734202864
39,5,0,appPageScroll,8.475318735542258
40,5,0,appPageScroll,8.475629515902286
41,5,0,appPageScroll,8.4758460541983
42,5,0,appPageScroll,8.476245040454689
43,5,0,appPageScroll,8.476316302269657
44,5,0,appRedirect,8.476455981745438
45,6,0,serverInit,8.479508443925988
46,6,0,viewAppPage,8.479590191647603
47,7,1,serverInit,8.493923240041536
48,7,1,viewAppPage,8.493925094103748
49,7,1,galleryScroll,8.49417275171706
50,7,1,galleryScroll,8.494370948427608
51,7,1,galleryScroll,8.49460333595589
52,7,1,galleryScroll,8.494831183125669
53,7,1,galleryScroll,8.494943259639916
54,8,1,serverInit,8.49720289669608
55,9,1,serverInit,8.5332814568465
56,9,1,viewAppPage,8.533517537306068
57,9,1,appPageScroll,8.533987997801963
58,9,1,galleryScroll,8.535103234486554
63,10,2,serverInit,8.535164107755367
59,9,1,galleryScroll,8.535380694625514
64,10,2,viewAppPage,8.53586652584912
60,9,1,galleryScroll,8.535996370131285
61,9,1,galleryScroll,8.535997591867224
65,10,2,galleryScroll,8.536359790791169
66,10,2,galleryScroll,8.536666507292159
62,9,1,galleryScroll,8.53668997876558
67,10,2,galleryScroll,8.536941401590898
68,10,2,galleryScroll,8.537796236199394
69,11,0,serverInit,8.573047209957405
70,11,0,viewAppPage,8.573313958505121
71,11,0,galleryScroll,8.573531948194523
72,11,0,galleryScroll,8.573774873953463
73,11,0,galleryScroll,8.574168036771725
74,11,0,galleryScroll,8.574382982314178
75,11,0,appRedirect,8.574408489494646
76,12,1,serverInit,8.638056974001094
77,12,1,viewAppPage,8.638136104230366
78,12,1,galleryScroll,8.638936953930516
79,12,1,galleryScroll,8.63941697116962
80,12,1,galleryScroll,8.639568277689627
81,12,1,appRedirect,8.639578276766382
82,13,0,serverInit,8.658316611738364
83,13,0,viewAppPage,8.658346077782706
84,13,0,galleryScroll,8.658725985077748
85,13,0,galleryScroll,8.659032144671515
86,13,0,galleryScroll,8.659206325741632
87,13,0,galleryScroll,8.659620364898341
88,13,0,galleryScroll,8.65976833168402
89,14,1,serverInit,8.728317917021188
90,14,1,viewAppPage,8.728468372954465
91,14,1,galleryScroll,8.729262175554894
92,15,1,serverInit,8.783789247537944
93,15,1,viewAppPage,8.783989272666723
94,16,2,serverInit,8.785295917651245
95,16,2,viewAppPage,8.785949146371982
96,16,2,galleryScroll,8.786202097546811
97,16,2,galleryScroll,8.786387540723485
98,16,2,galleryScroll,8.786504994581849
99,16,2,galleryScroll,8.786644416478243
100,16,2,galleryScroll,8.786926500508367
101,16,2,galleryScroll,8.78726763051866
102,16,2,galleryScroll,8.787312098488885
103,16,2,galleryScroll,8.787957549689974
104,16,2,galleryScroll,8.788160217274244
105,16,2,galleryScroll,8.788363927309643
106,17,2,serverInit,8.836091892328698
107,17,2,viewAppPage,8.836239692913082
108,17,2,galleryScroll,8.836400469030028
109,17,2,galleryScroll,8.8369009045297
110,18,2,serverInit,8.854718503103589
111,18,2,viewAppPage,8.854907015003551
112,18,2,galleryScroll,8.854995725019013
113,18,2,galleryScroll,8.855118754534788
114,18,2,galleryScroll,8.856646761359025
115,18,2,galleryScroll,8.856962630954365
116,18,2,galleryScroll,8.85726761866079
117,19,2,serverInit,8.88800710929328
118,19,2,viewAppPage,8.888130024261752
119,19,2,galleryScroll,8.889385662784683
120,19,2,galleryScroll,8.88945135721466
121,20,0,serverInit,8.908701649600811
122,20,0,viewAppPage,8.908736133238461
123,20,0,galleryScroll,8.908811954209822
124,20,0,galleryScroll,8.90881406275493
125,20,0,galleryScroll,8.908957611475158
126,20,0,galleryScroll,8.909439414294448
127,20,0,galleryScroll,8.909641638921633
128,20,0,galleryScroll,8.910214150079968
129,20,0,galleryScroll,8.911022771804836
130,20,0,galleryScroll,8.911090083891558
131,20,0,galleryScroll,8.912147648274223
132,20,0,galleryScroll,8.912702013276322
133,21,2,serverInit,8.982027248903538
134,21,2,viewAppPage,8.982047323675863
135,21,2,galleryScroll,8.983927560916992
136,21,2,galleryScroll,8.984375876520014
137,21,2,appPageScroll,8.98448057865325
138,21,2,appPageScroll,8.984581919331182
139,21,2,appPageScroll,8.985232694787795
140,21,2,appPageScroll,8.98569064716654
141,21,2,appPageScroll,8.985871638094368
142,21,2,appPageScroll,8.985928197693955
143,21,2,appPageScroll,8.986103385615447
144,21,2,appPageScroll,8.986339090739252
145,21,2,appPageScroll,8.986561626959366
146,21,2,appPageScroll,8.987197761944685
147,22,1,serverInit,9.018066292379345
148,22,1,viewAppPage,9.018066626587657
149,22,1,appPageScroll,9.02072639041689
150,22,1,appPageScroll,9.020772046102229
151,22,1,galleryScroll,9.021390626072154
152,22,1,galleryScroll,9.021495466818592
153,22,1,galleryScroll,9.022138676117729
154,22,1,galleryScroll,9.022198924621424
155,22,1,galleryScroll,9.022564946610633
156,22,1,galleryScroll,9.022998347728105
157,22,1,galleryScroll,9.02306336640942
158,23,1,serverInit,9.035129436321903
159,23,1,viewAppPage,9.035749520995292
160,23,1,appRedirect,9.036245744347198
161,24,0,serverInit,9.113798113167675
162,24,0,viewAppPage,9.114067903213995
163,24,0,galleryScroll,9.115486929050782
164,24,0,galleryScroll,9.116088900766682
165,24,0,appRedirect,9.116232393464896
166,25,2,serverInit,9.265354063658238
167,25,2,viewAppPage,9.26587762893926
168,26,0,serverInit,9.301934791416802
169,26,0,viewAppPage,9.30208757905503
170,26,0,appPageScroll,9.304457200780103
171,26,0,appPageScroll,9.305639610473293
172,26,0,appPageScroll,9.305725976765798
173,26,0,galleryScroll,9.307150860886846
174,26,0,galleryScroll,9.307525975644968
175,26,0,galleryScroll,9.30758053805782
176,26,0,galleryScroll,9.3077275041958
177,26,0,galleryScroll,9.307881335665627
178,27,0,serverInit,9.327032253667367
179,27,0,viewAppPage,9.327156006666437
180,27,0,galleryScroll,9.3275755559583
181,27,0,galleryScroll,9.327594277549222
182,27,0,galleryScroll,9.327932049177518
183,27,0,galleryScroll,9.32846932841963
184,27,0,galleryScroll,9.328510531044849
185,28,1,serverInit,9.376129856946793
186,28,1,viewAppPage,9.37646530505994
187,28,1,appPageScroll,9.376740763762772
188,28,1,appPageScroll,9.3768261886377
189,28,1,appPageScroll,9.376909585858048
190,28,1,galleryScroll,9.377089997671558
191,28,1,galleryScroll,9.377403806313188
192,29,2,serverInit,9.65161833334766
193,29,2,viewAppPage,9.651638876605002
194,29,2,appRedirect,9.65194394553686
195,30,1,serverInit,10.024569407000307
196,30,1,viewAppPage,10.024758757792316
197,31,0,serverInit,10.112667730599151
198,31,0,viewAppPage,10.11288717502054
199,31,0,appRedirect,10.112889959986216
200,32,0,serverInit,10.296720536387697
201,33,1,serverInit,10.444287873081704
202,33,1,viewAppPage,10.444691728740981
203,33,1,appPageScroll,10.445614838129208
204,33,1,appPageScroll,10.445926632189343
205,33,1,galleryScroll,10.446361125169158
206,33,1,galleryScroll,10.44653697866228
207,33,1,galleryScroll,10.447024172278228
208,33,1,galleryScroll,10.447182871641862
209,33,1,galleryScroll,10.447472758467029
210,33,1,galleryScroll,10.44790600017787
211,33,1,galleryScroll,10.448457090019307
212,33,1,galleryScroll,10.450186197325246
213,33,1,galleryScroll,10.450233122067981
214,33,1,galleryScroll,10.450527417681409
215,33,1,galleryScroll,10.451066141777568
216,34,0,serverInit,10.481772526221054
217,34,0,viewAppPage,10.481955848505065
218,34,0,galleryScroll,10.481970146260837
219,34,0,galleryScroll,10.482307525679856
220,34,0,galleryScroll,10.483021566867905
